keyword,frequency
People,716
War,448
Home,110
Religion,104
Self,99
Present,92
Sad,83
Mad,82
Started,80
Unity,73
Building,73
Beautiful,73
Future,72
Hate,60
Community,60
Government,55
Pain,48
Hope,48
Happy,47
Church,46
Museum,45
Peace,44
Politics,39
Flood,37
Consent,36
State,35
Army,35
Past,34
Mosque,32
Former,32
Pay,29
Identity,25
Agreement,25
Contact,24
Relation,23
Light,23
Attack,21
Cut,21
Structure,19
Rage,19
Marriage,18
Fall,18
Moved,18
Influenced,18
Modern,18
Conflict,17
Malls,17
Course,17
Sag,17
Genocide,17
Corruption,17
Centra,16
Fighting,15
Background,15
Safe,15
Character,15
Nationality,15
Dim,14
Scared,14
Buildings,14
Natural,14
Connection,13
Statistics,13
Stress,13
Volunteering,13
Joy,12
Enemies,12
Cute,12
LGBT,11
Flow,11
Memorial,11
Forward,11
Associate,11
Afraid,11
Beat,11
Shame,11
Raid,11
Rich,11
Childhood,10
Familiar,10
Protected,10
Nature,10
Trauma,10
Desire,9
Hut,9
Unemployment,9
Dark,9
Anger,9
Violence,9
Local,8
Damage,8
Wedding,8
Eventual,8
Force,8
Grenades,8
Spent,7
Disturbing,7
Constitution,7
Harm,7
Architecture,7
Pride,6
Mart,6
Advice,6
Status,6
Poverty,6
Guilt,6
Burn,6
Race,6
Cathedral,5
Disaster,5
Down Syndrome,5
Importance,5
Forgiveness,5
Division,5
Blow,5
Logical,5
Puberty,5
Central,5
PTSD,5
Census,4
Inspired,4
Prejudice,4
Balkanization,4
Bright,4
Multicultural,4
Death,4
Global,4
Passage,4
Union,4
Beauty,3
Crash,3
Slaughter,3
Foundation,3
Ethnicity,3
Market,3
Origin,3
Annoying,3
Petitions,3
Rape,3
Prayer,3
Ritual,2
Belief,2
Abuse,2
Planned,2
Competition,2
Loss,2
Century,2
Drop,2
Neighborhood,2
Residency,2
Poll,2
Suit,2
Authority,2
Democratic,2
Anorexia,2
Direction,2
Reasonable,2
Innate,2
Explosive,2
Wall,2
Terrorist,2
Minority,2
Sickness,2
Catastrophe,2
Accident,2
Bitter,2
Preference,2
Not Caring,1
Sense of Belonging,1
Tender,1
Struggle,1
Secure,1
Sunny,1
Military,1
Suggest,1
Embarrassing,1
Fear,1
Intelligence,1
Ministry,1
Confidence,1
Prospect,1
Profit,1
Defense,1
Prospective,1
Individualism,1
Salary,1
Unknown,1
Fascinating,1
Torture,1
Bankruptcy,1
Remorse,1
Legitimate,1
Dayton Peace Agreement,1
Interfaith,1
Acceptance,1
Debt,1
Guard,1
Resistance,1
Charity,1
Regret,1
District,1
Bias,1
Holocaust,1
Gallery,1
Firing,1
Residence,1
Activism,1
Discrimination,1
Kindness,1
Treason,1
Offensive,1
Acquaintance,1
Synagogue,1
Improvement,1
Pilgrimage,0
Orbit,0
Truancy,0
Absenteeism,0
Hooky,0
Vacancy,0
Superstition,0
Creed,0
Myth,0
Mythology,0
Anticipation,0
Imminent,0
Subsequent,0
Prompt,0
Coeval,0
Completed,0
Prior,0
Carton,0
A Turn,0
Wanton,0
Wert Born,0
Wast On,0
House Of God,0
Basilica,0
Sanctuary,0
Sectary,0
Smeary,0
Geometry,0
House Of Worship,0
Shrine,0
Temple,0
Parish,0
Library,0
Salon,0
Household,0
Malfeasance,0
Exploitation,0
Crime,0
Fraud,0
Habit,0
Demographics,0
Demography,0
Enumeration,0
Polity,0
Zoo,0
Electioneering,0
Legislature,0
Request,0
Application,0
Combatant,0
Martial,0
Militant,0
Shopping Mall,0
Plaza,0
Shopping Center,0
Construction,0
Spate,0
Glut,0
Downpour,0
Deluge,0
Instinctive,0
Fireball,0
Pineapple,0
Missile,0
Shell,0
Fence,0
Shield,0
Discharging,0
Gunning,0
Blasting,0
Gunfire,0
Attacker,0
Competitor,0
Spy,0
Murderer,0
Onslaught,0
Intrusion,0
Warfare,0
Failure,0
Emergency,0
Luminous,0
Shiny,0
Distressing,0
Worrisome,0
Troublesome,0
Overcast,0
Shadowy,0
Murky,0
Misty,0
Marvelous,0
Magnificent,0
Alluring,0
Undiscovered,0
Remote,0
Unidentified,0
Exotic,0
Unexplored,0
Inquiring,0
Impertinent,0
Nosy,0
Analytical,0
Mass Murder,0
Carnage,0
Massacre,0
Despoliation,0
Violation,0
Maltreatment,0
Abduction,0
Racialism,0
Race Snobbery,0
Race Prejudice,0
Race Discrimination,0
Racism,0
Bigotry,0
Favoritism,0
Inequity,0
Intolerance,0
Revenue,0
Wage,0
Famine,0
Hardship,0
Crisis,0
Dislocation,0
Logrolling,0
Striking,0
Advocacy,0
Militancy,0
Involvement,0
Vindication,0
Compassion,0
Remission,0
Mercy,0
Reprieve,0
Dishonesty,0
Deception,0
Sellout,0
Treachery,0
Singleness,0
Individuality,0
Impartial,0
Even-Handed,0
Equitable,0
Graded,0
Ordered,0
Stratified,0
Ranked,0
Hierarchic,0
Disjuncture,0
Disunion,0
Selection,0
Distribution,0
Unification,0
Consensus,0
Unanimity,0
Continental,0
Worldwide,0
Universal,0
Infancy,0
Juvenility,0
Nonage,0
Lubed,0
Jabot,0
Legist,0
Legate,0
Leg It,0
Adolescent,0
Adolescents,0
Inter Face,0
Un-Faith,0
Un Faith,0
On Faith,0
Unfaith,0
Cooperation,0
Compliance,0
Admission,0
Acknowledgment,0
Dexterity,0
Finesse,0
Agility,0
Brutality,0
Disturbance,0
Rampage,0
Rebuttal,0
Repudiation,0
Disapproval,0
Veto,0
Rejection,0
Wedlock,0
Amalgamation,0
Alliance,0
Merger,0
Strife,0
Clash,0
Combat,0
Complete Exhaustion,0
Combat Neurosis,0
Combat Disorder,0
Shell Shock,0
Combat Fatigue,0
Upheaval,0
Ordeal,0
Repose,0
Dissolution,0
Downfall,0
Decease,0
Ruination,0
Resilience,0
Restoration,0
Readjustment,0
Resumption,0
Bulla,0
Balm,0
Blemish,0
Bulimic,0
Bulimias,0
Malnutrition,0
Thinness,0
Withering,0
Consumption,0
Attenuation,0
Irritation,0
Confusion,0
Humiliation,0
Liability,0
Indiscretion,0
Disgrace,0
Culpability,0
Unease,0
Horror,0
Angst,0
Anxiety,0
Dismay,0
Impatience,0
Acrimony,0
Annoyance,0
Soreness,0
Fever,0
Cramp,0
Satisfaction,0
Self-Confidence,0
Self-Respect,0
Dignity,0
Magnanimity,0
Philanthropy,0
Benevolence,0
Advance,0
Enlist,0
Come Forward,0
Dismal,0
Somber,0
Melancholy,0
Pessimistic,0
Ecstatic,0
Overjoyed,0
Contented,0
Cheerful,0
Accent,0
Weight,0
Nutty,0
Kooky,0
Delirious,0
Frenzied,0
Fantastic,0
Panicky,0
Startled,0
Anxious,0
Fearful,0
Revenge,0
Hostility,0
Enmity,0
Antagonism,0
Animated,0
Exhilarated,0
Snug,0
Intact,0
Instruction,0
Management,0
Nepotism,0
Careers,0
Gender Inequality,0
Absence,0
Religious Symbol,0
War-Torn,0
Cemetary,0
Relgious Institution,0
Lack of Funding,0
Shootings,0
Inquisitive,0
Denial,0
Xenophobia,0
Anti-Semitism,0
Income,0
Community Participation,0
Community Initiatives,0
Absense of War,0
Conflict Resolution,0
Social Injustice,0
Betrayal,0
Egalitarian,0
Hierarchical,0
Multi-Cultural,0
Adolescense,0
Grace,0
Non-Acceptance,0
Absense of Trust,0
Refugee due to War,0
Intergenerational Trauma,0
Substance Abuse,0
Home & Belongings,0
Resilency,0
Recovery,0
Bulemia,0
Altruism,0
Partisanship,0
